S.No,Symbol,Company Name,Industry,Market Lot,Series,ISIN Code,YahooSymbol
1,360ONE,360 ONE WAM Ltd.,Financial Services,500,EQ,INE466L01038,360ONE.NS
2,ABB,ABB India Ltd.,Capital Goods,125,EQ,INE117A01022,ABB.NS
3,ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,3100,EQ,INE674K01013,ABCAPITAL.NS
4,ADANIENSOL,Adani Energy Solutions Ltd.,Power,675,EQ,INE931S01010,ADANIENSOL.NS
5,ADANIENT,Adani Enterprises Ltd.,Metals & Mining,309,EQ,INE423A01024,ADANIENT.NS
6,ADANIGREEN,Adani Green Energy Ltd.,Power,600,EQ,INE364U01010,ADANIGREEN.NS
7,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,475,EQ,INE742F01042,ADANIPORTS.NS
8,ADANIPOWER,Adani Power Ltd.,Power,3550,EQ,INE814H01029,ADANIPOWER.NS
9,ALKEM,Alkem Laboratories Ltd.,Healthcare,125,EQ,INE540L01014,ALKEM.NS
10,AMBER,Amber Enterprises India Ltd.,Consumer Durables,100,EQ,INE371P01015,AMBER.NS
11,AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,1200,EQ,INE079A01024,AMBUJACEM.NS
12,ANGELONE,Angel One Ltd.,Financial Services,2500,EQ,INE732I01021,ANGELONE.NS
13,APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,350,EQ,INE702C01027,APLAPOLLO.NS
14,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,125,EQ,INE437A01024,APOLLOHOSP.NS
15,ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,5000,EQ,INE208A01029,ASHOKLEY.NS
16,ASIANPAINT,Asian Paints Ltd.,Consumer Durables,250,EQ,INE021A01026,ASIANPAINT.NS
17,ASTRAL,Astral Ltd.,Capital Goods,425,EQ,INE006I01046,ASTRAL.NS
18,ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,375,EQ,INE0LEZ01016,ATHERENERG.NS
19,AUBANK,AU Small Finance Bank Ltd.,Financial Services,1000,EQ,INE949L01017,AUBANK.NS
20,AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,550,EQ,INE406A01037,AUROPHARMA.NS
21,AXISBANK,Axis Bank Ltd.,Financial Services,625,EQ,INE238A01034,AXISBANK.NS
22,BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,75,EQ,INE917I01010,BAJAJ-AUTO.NS
23,BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,300,EQ,INE918I01026,BAJAJFINSV.NS
24,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,75,EQ,INE118A01012,BAJAJHLDNG.NS
25,BAJFINANCE,Bajaj Finance Ltd.,Financial Services,750,EQ,INE296A01032,BAJFINANCE.NS
26,BANDHANBNK,Bandhan Bank Ltd.,Financial Services,3600,EQ,INE545U01014,BANDHANBNK.NS
27,BANKBARODA,Bank of Baroda,Financial Services,2925,EQ,INE028A01039,BANKBARODA.NS
28,BANKINDIA,Bank of India,Financial Services,5200,EQ,INE084A01016,BANKINDIA.NS
29,BDL,Bharat Dynamics Ltd.,Capital Goods,425,EQ,INE171Z01026,BDL.NS
30,BEL,Bharat Electronics Ltd.,Capital Goods,1425,EQ,INE263A01024,BEL.NS
31,BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,500,EQ,INE465A01025,BHARATFORG.NS
32,BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,475,EQ,INE397D01024,BHARTIARTL.NS
33,BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,2625,EQ,INE257A01026,BHEL.NS
34,BIOCON,Biocon Ltd.,Healthcare,2500,EQ,INE376G01013,BIOCON.NS
35,BLUESTARCO,Blue Star Ltd.,Consumer Durables,325,EQ,INE472A01039,BLUESTARCO.NS
36,BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,25,EQ,INE323A01026,BOSCHLTD.NS
37,BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,1975,EQ,INE029A01011,BPCL.NS
38,BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,125,EQ,INE216A01030,BRITANNIA.NS
39,BSE,BSE Ltd.,Financial Services,200,EQ,INE118H01025,BSE.NS
40,CAMS,Computer Age Management Services Ltd.,Financial Services,825,EQ,INE596I01020,CAMS.NS
41,CANBK,Canara Bank,Financial Services,6750,EQ,INE476A01022,CANBK.NS
42,CDSL,Central Depository Services (India) Ltd.,Financial Services,475,EQ,INE736A01011,CDSL.NS
43,CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,850,EQ,INE067A01029,CGPOWER.NS
44,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,625,EQ,INE121A01024,CHOLAFIN.NS
45,CIPLA,Cipla Ltd.,Healthcare,425,EQ,INE059A01026,CIPLA.NS
